text_data,source_language,target_language,target_text,final_text_data
" এ মামলায় কোনো প্যারোল মিলবে না রায়ানের। খবর এনসিবি নিউজের। গত ২১ সেপ্টেম্বর ব্রিটিশ কলম্বিয়া সুপ্রিমকোর্টের বিচারপতি ক্যাথনিল এ রায় ঘোষণা করেন। জানা গেছে, ২০২০ সালে নিজের বাড়িতেই ৬৪ বছর বয়সী মা বারবারা ওয়েটেকে হত্যা করেছিলেন রায়ান। খুনের কথা আদালতে নিজেই স্বীকার করেন ‘রিভারডেল’ খ্যাত এই অভিনেতা।।",Bangla,English,"Ryan will not be granted any parole in this case. NBC News reported this. On 21 September, Justice Kathneil of the British Columbia Supreme Court delivered this verdict. It was reported that, in 2020, Ryan had killed his 64-year-old mother, Barbara Waite, in his own home. This actor, famed for Riverdale, himself admitted in court that he had committed the murder."," এ মামলায় কোনো প্যারোল মিলবে না রায়ানের। খবর এনসিবি নিউজের। গত ২১ সেপ্টেম্বর ব্রিটিশ কলম্বিয়া সুপ্রিমকোর্টের বিচারপতি ক্যাথনিল এ রায় ঘোষণা করেন। জানা গেছে, ২০২০ সালে নিজের বাড়িতেই ৬৪ বছর বয়সী মা বারবারা ওয়েটেকে হত্যা করেছিলেন রায়ান। খুনের কথা আদালতে নিজেই স্বীকার করেন ‘রিভারডেল’ খ্যাত এই অভিনেতা।।"
"ম্যাক্সওয়েল ঝড়ে সিরিজ জিতলো অস্ট্রেলিয়া

৩ ম্যাচ টি-টোয়েন্টি সিরিজের দ্বিতীয় ম্যাচে ওয়েস্ট ইন্ডিজকে ৩৪ রানে হারিয়ে ১ ম্যাচ হাতে রেখেই সিরিজ জিতে নিলো অস্ট্রেলিয়া। আগে ব্যাট করতে নেমে গ্লেন ম্যাক্সওয়েলের ঝড়ো সেঞ্চুরিতে ২৪১ রানের বিশাল পুঁজি পায় অজিরা। লক্ষ্য তাড়া করতে নেমে নিয়মিত বিরতিতে উইকেট হারাতে থাকে সফরকারীরা। অধিনায়ক রোভম্যান পাওয়েল ফিফটি তুলে নিলেও তা জয়ের জন্য যথেষ্ট ছিল না।",Bangla,English,"Australia clinched the series with a Maxwell storm

In the second match of the three-match T20 series, Australia defeated West Indies by 34 runs and secured the series with one match to spare. Batting first, the Aussies amassed a massive total of 241 runs thanks to a whirlwind century from Glenn Maxwell. Chasing the target, the visitors kept losing wickets at regular intervals. Although captain Rovman Powell scored a fifty, it was not enough for victory.","ম্যাক্সওয়েল ঝড়ে সিরিজ জিতলো অস্ট্রেলিয়া

৩ ম্যাচ টি-টোয়েন্টি সিরিজের দ্বিতীয় ম্যাচে ওয়েস্ট ইন্ডিজকে ৩৪ রানে হারিয়ে ১ ম্যাচ হাতে রেখেই সিরিজ জিতে নিলো অস্ট্রেলিয়া। আগে ব্যাট করতে নেমে গ্লেন ম্যাক্সওয়েলের ঝড়ো সেঞ্চুরিতে ২৪১ রানের বিশাল পুঁজি পায় অজিরা। লক্ষ্য তাড়া করতে নেমে নিয়মিত বিরতিতে উইকেট হারাতে থাকে সফরকারীরা। অধিনায়ক রোভম্যান পাওয়েল ফিফটি তুলে নিলেও তা জয়ের জন্য যথেষ্ট ছিল না।"
"গাজা থেকে ৩ জিম্মির মরদেহ উদ্ধারের দাবি ইসরায়েলি বাহিনীর

 ফিলিস্তিনের গাজা উপত্যকা থেকে তিন জিম্মির মরদেহ উদ্ধারের দাবি করেছে ইসরায়েলের প্রতিরক্ষা বাহিনীর (আইডিএফ)। মরদেহগুলো গাজা শহরের উত্তরাঞ্চলের এলাকা জাবালিয়া থেকে উদ্ধার করা হয়েছে বলে জানা যায়। উদ্ধারকৃত মরদেহগুলোর পরিচয় শনাক্ত করা হয়েছে। নিহত তিনজনের নাম শনি লুক, অমিত বুসকিলা এবং ইতজাক গেলেরেন্টার।",Bangla,English,"Israeli forces claim recovery of 3 hostages' bodies from Gaza

Israel's Defence Forces (IDF) have claimed to have recovered the bodies of three hostages from the Gaza Strip in Palestine. It is learned that the bodies were recovered from Jabalia, an area in the northern part of Gaza City. The identities of the recovered bodies have been confirmed. The names of the three deceased are Shani Louk, Amit Buskila, and Itzhak Gelerenter.","গাজা থেকে ৩ জিম্মির মরদেহ উদ্ধারের দাবি ইসরায়েলি বাহিনীর

 ফিলিস্তিনের গাজা উপত্যকা থেকে তিন জিম্মির মরদেহ উদ্ধারের দাবি করেছে ইসরায়েলের প্রতিরক্ষা বাহিনীর (আইডিএফ)। মরদেহগুলো গাজা শহরের উত্তরাঞ্চলের এলাকা জাবালিয়া থেকে উদ্ধার করা হয়েছে বলে জানা যায়। উদ্ধারকৃত মরদেহগুলোর পরিচয় শনাক্ত করা হয়েছে। নিহত তিনজনের নাম শনি লুক, অমিত বুসকিলা এবং ইতজাক গেলেরেন্টার।"
"আইকনিক আরফা করিমকে মরণোত্তর সম্মাননা জানাতে এই টুর্নামেন্টের আয়োজন করা হয়। বাংলাদেশের পররাষ্ট্র মন্ত্রণালয়, কূটনৈতিক মিশন, জাতিসংঘের সংস্থা, ব্যবসায়িক কোম্পানি, শিক্ষা প্রতিষ্ঠান এবং মিডিয়া আউটলেটগুলোর প্রতিনিধিত্বকারী ৩২টি দল সেখানে অংশগ্রহণ করেছিল।সমাপনী অনুষ্ঠানে বাংলাদেশের প্রধান অতিথি হিসেবে উপস্থিত ছিলেন পররাষ্ট্র সচিব রাষ্ট্রদূত মাসুদ বিন মোমেন। তিনি পাকিস্তানের হাইকমিশনার সৈয়দ আহমেদ মারুফের সাথে বিজয়ী দলকে ট্রফি ও নগদ পুরস্কার প্রদান করেন। অনুষ্ঠানে আরও উপস্থিত ছিলেন বাংলাদেশে নিযুক্ত চীনের রাষ্ট্রদূত ইয়াও ওয়েন এবং প্যারা আর্চারি অ্যাসোসিয়েশনের মহাসচিব ফয়সাল আহসান উল্লাহ। /এএস।",Bangla,English,"This tournament was organized to posthumously honor the iconic Arfa Karim. Thirty-two teams representing Bangladesh's Ministry of Foreign Affairs, diplomatic missions, United Nations agencies, business companies, educational institutions, and media outlets participated in the event. At the closing ceremony, the chief guest from Bangladesh was Foreign Secretary Ambassador Masud Bin Momen. He, along with Pakistan's High Commissioner Syed Ahmed Maroof, presented the trophy and cash prize to the winning team. Also present at the event were the Chinese Ambassador to Bangladesh, Yao Wen, and the General Secretary of the Para Archery Association, Faisal Ahsan Ullah. /AS",
"রাখাইনের আরেকটি শহর দখল আরাকান আর্মির

মিয়ানমারের রাখাইন রাজ্যের আরেকটি শহর দখল করেছে আরাকান আর্মি (এএ)। বিদ্রোহী গোষ্ঠীটির সদস্যদের হামলার মুখে রাথিডং শহর ছেড়ে পালিয়েছে দুই শতাধিক সেনা। সোমবার (১৮ মার্চ) ইরাবতীসহ বিভিন্ন গণমাধ্যম জানায়, ২ সপ্তাহ আগে শহরটি দখলে নিতে হামলা চালায় বিদ্রোহীরা। অবরুদ্ধ করে রাখে পুরো শহর। জান্তা বাহিনীর সাথে তুমুল লড়াই চলতে থাকে আরাকান আর্মির। অবশেষে বিদ্রোহীদের হামলার মুখে শহরটি থেকে পালাতে বাধ্য হয় সৈন্যরা। এতে কয়েকজন বেসামরিক নাগরিক নিহত হয়েছে বলেও জানানো হয়।।",Bangla,English,"Arakan Army captures another town in Rakhine

The Arakan Army (AA) has captured another town in Myanmar's Rakhine State. Over two hundred soldiers fled the town of Rathidaung in the face of attacks by members of the rebel group. On Monday (March 18), Irrawaddy and other media reported that the rebels launched an attack two weeks ago to seize the town. They blockaded the entire town. Fierce fighting continued between the Arakan Army and the junta forces. Eventually, the soldiers were forced to flee the town due to the rebels' attacks. It was also reported that several civilians were killed in the incident.",
" কেশব মহারাজ এলেন তার শেষ ওভার করতে। প্রথম বলে দিলেন ওয়াইড। সমীকরণ ৬ বলে দশ। ৪ বলে যখন ৭ দরকার, বিগ শট খেলতে গিয়ে আউট হন অনিক।",Bangla,English,"Keshav Maharaj came to bowl his final over. He bowled a wide on the first ball. The equation was 10 runs needed from 6 balls. When 7 runs were needed from 4 balls, Anik got out trying to play a big shot.",
 বৃহস্পতিবার (১৬ নভেম্বর) কলকাতার ইডেন গার্ডেন্সে টস জিতে ব্যাটিংয়ের সিদ্ধান্ত নেন প্রোটিয়া অধিনায়ক টেম্বা বাভুমা। ইনিংসের শুরু থেকেই উইকেট থেকে দারুণ সুইং আদায় করেন স্টার্ক-হ্যাজলউডরা। প্রথম ওভারেই অস্ট্রেলিয়াকে ব্রেক থ্রু এনে দেন স্টার্ক। বাঁহাতি এই পেসারের অফ স্টাম্পের কিছুটা বাইরে পিচ করা ডেলিভারি বেরিয়ে যাওয়ার মুখে খোঁচা মারেন বাভুমা। ব্যাটের বাইরের কানায় লেগে বল চলে যায় পেছনে। ডান দিকে ঝাঁপিয়ে দারুণ ক্যাচ নেন জশ ইংলিস। শূন্য রানেই ফিরতে হয় তাকে।।,Bangla,English,"On Thursday (16 November), South African captain Temba Bavuma won the toss and chose to bat at Eden Gardens in Kolkata. From the very beginning of the innings, Starc and Hazlewood generated excellent swing from the wicket. In the very first over, Starc provided Australia with a breakthrough. The left-arm pacer bowled a delivery just outside off stump, and Bavuma edged it as the ball was moving away. The ball caught the outside edge of the bat and went behind. Josh Inglis dived to his right and took a brilliant catch. Bavuma had to return for a duck.",
"আন্দোলনের পুরো সময়টা শিক্ষার্থীদের দারুণ ঐক্যশক্তি ছিল। এখন সেই ঐক্যশক্তিটা দেখতে পাচ্ছি না। আমাদের এই ঐক্যশক্তিটা খুব দরকার। আরেকটি বিষয়, ট্রান্সজিশন অব পাওয়ার নিরাপদ দরকার।",Bangla,English,"Throughout the movement, the students had remarkable unity. I don't see that unity now. We really need this unity. Another thing, we need a safe transition of power.",
"আসরের প্রথম সেঞ্চুরি হৃদয়ের, ঢাকাকে হারিয়ে টেবিলের দুইয়ে কুমিল্লা

 বিপিএলের চলতি আসরে ২৬তম ম্যাচে এসে সেঞ্চুরির দেখা মিলেছে। চলতি আসরে প্রথম সেঞ্চুরি করেছেন টাইগার ব্যাটার তাওহীদ হৃদয়। তার অপরাজিত ঝোড়ো সেঞ্চুরিতে দুর্দান্ত ঢাকাকে ৪ উইকেটে হারিয়েছে কুমিল্লা ভিক্টোরিয়ান্স। এই জয়ে পয়েন্ট টেবিলের দুইয়ে উঠে এসেছে কুমিল্লা।",Bangla,English,"Season's first century for Hridoy, Comilla second in the table after beating Dhaka

The first century of the ongoing BPL season came in the 26th match. Tiger batter Towhid Hridoy scored the season's first century. Thanks to his unbeaten and explosive century, Comilla Victorians beat the formidable Dhaka side by 4 wickets. With this win, Comilla has moved up to second in the points table.","আসরের প্রথম সেঞ্চুরি হৃদয়ের, ঢাকাকে হারিয়ে টেবিলের দুইয়ে কুমিল্লা

 বিপিএলের চলতি আসরে ২৬তম ম্যাচে এসে সেঞ্চুরির দেখা মিলেছে। চলতি আসরে প্রথম সেঞ্চুরি করেছেন টাইগার ব্যাটার তাওহীদ হৃদয়। তার অপরাজিত ঝোড়ো সেঞ্চুরিতে দুর্দান্ত ঢাকাকে ৪ উইকেটে হারিয়েছে কুমিল্লা ভিক্টোরিয়ান্স। এই জয়ে পয়েন্ট টেবিলের দুইয়ে উঠে এসেছে কুমিল্লা।"
" প্রথম দিকে শোনা গিয়েছিল, সালমান খানের জীবনী নিয়ে যে তথ্যচিত্র নির্মিত হবে, তার নাম হবে ‘বিয়ন্ড দ্য স্টার’। সেখানে মূলত সালমানের বলিউড যাত্রাই প্রাধান্য পাবে। হয়তো উঠে আসবে অনেক অজানা তথ্য। একই সাথে ব্যক্তি সালমানের এক অন্য রূপও দেখতে পাবেন দর্শকরা। অবশ্য শেষ পর্যন্ত তথ্যচিত্রের নাম ‘বিয়ন্ড দ্য স্টার’ই থাকছে কিনা তা এখনই বলা যাচ্ছে না।।",Bangla,English,"At first, word was that the documentary to be made on Salman Khan’s life would be titled Beyond the Star. The main focus there would be Salman’s Bollywood journey. Perhaps many unknown facts will come out. At the same time, viewers will also get to see another side of Salman as a person. Of course, it cannot yet be said whether the documentary will ultimately still be titled Beyond the Star."," প্রথম দিকে শোনা গিয়েছিল, সালমান খানের জীবনী নিয়ে যে তথ্যচিত্র নির্মিত হবে, তার নাম হবে ‘বিয়ন্ড দ্য স্টার’। সেখানে মূলত সালমানের বলিউড যাত্রাই প্রাধান্য পাবে। হয়তো উঠে আসবে অনেক অজানা তথ্য। একই সাথে ব্যক্তি সালমানের এক অন্য রূপও দেখতে পাবেন দর্শকরা। অবশ্য শেষ পর্যন্ত তথ্যচিত্রের নাম ‘বিয়ন্ড দ্য স্টার’ই থাকছে কিনা তা এখনই বলা যাচ্ছে না।।"
